stride = 25, sequence_len = 50, ratio = 0.2, data.shape = (2608, 5, 50, 15, 3), training_len = 521
stride = 50, sequence_len = 75, ratio = 0.45, data.shape = (1130, 5, 75, 15, 3), training_len = 508
stride = 50, sequence_len = 75, ratio = 0.46, data.shape = (1130, 5, 75, 15, 3), training_len = 519
stride = 50, sequence_len = 75, ratio = 0.47, data.shape = (1130, 5, 75, 15, 3), training_len = 531
stride = 50, sequence_len = 75, ratio = 0.48, data.shape = (1130, 5, 75, 15, 3), training_len = 542
stride = 50, sequence_len = 75, ratio = 0.49, data.shape = (1130, 5, 75, 15, 3), training_len = 553
stride = 50, sequence_len = 75, ratio = 0.5, data.shape = (1130, 5, 75, 15, 3), training_len = 565
stride = 50, sequence_len = 75, ratio = 0.51, data.shape = (1130, 5, 75, 15, 3), training_len = 576
stride = 50, sequence_len = 75, ratio = 0.52, data.shape = (1130, 5, 75, 15, 3), training_len = 587
stride = 50, sequence_len = 75, ratio = 0.53, data.shape = (1130, 5, 75, 15, 3), training_len = 598
stride = 50, sequence_len = 75, ratio = 0.54, data.shape = (1130, 5, 75, 15, 3), training_len = 610
stride = 50, sequence_len = 75, ratio = 0.55, data.shape = (1130, 5, 75, 15, 3), training_len = 621
stride = 50, sequence_len = 75, ratio = 0.56, data.shape = (1130, 5, 75, 15, 3), training_len = 632
stride = 50, sequence_len = 75, ratio = 0.57, data.shape = (1130, 5, 75, 15, 3), training_len = 644
stride = 50, sequence_len = 75, ratio = 0.58, data.shape = (1130, 5, 75, 15, 3), training_len = 655
stride = 50, sequence_len = 75, ratio = 0.59, data.shape = (1130, 5, 75, 15, 3), training_len = 666
stride = 50, sequence_len = 75, ratio = 0.6, data.shape = (1130, 5, 75, 15, 3), training_len = 678
stride = 50, sequence_len = 75, ratio = 0.61, data.shape = (1130, 5, 75, 15, 3), training_len = 689
stride = 50, sequence_len = 75, ratio = 0.62, data.shape = (1130, 5, 75, 15, 3), training_len = 700
stride = 50, sequence_len = 75, ratio = 0.63, data.shape = (1130, 5, 75, 15, 3), training_len = 711
stride = 50, sequence_len = 75, ratio = 0.64, data.shape = (1130, 5, 75, 15, 3), training_len = 723
stride = 50, sequence_len = 75, ratio = 0.65, data.shape = (1130, 5, 75, 15, 3), training_len = 734
stride = 50, sequence_len = 75, ratio = 0.66, data.shape = (1130, 5, 75, 15, 3), training_len = 745
stride = 50, sequence_len = 75, ratio = 0.67, data.shape = (1130, 5, 75, 15, 3), training_len = 757
stride = 50, sequence_len = 75, ratio = 0.68, data.shape = (1130, 5, 75, 15, 3), training_len = 768
stride = 50, sequence_len = 75, ratio = 0.69, data.shape = (1130, 5, 75, 15, 3), training_len = 779
stride = 50, sequence_len = 75, ratio = 0.7, data.shape = (1130, 5, 75, 15, 3), training_len = 791
stride = 50, sequence_len = 75, ratio = 0.71, data.shape = (1130, 5, 75, 15, 3), training_len = 802
stride = 50, sequence_len = 75, ratio = 0.72, data.shape = (1130, 5, 75, 15, 3), training_len = 813
stride = 50, sequence_len = 75, ratio = 0.73, data.shape = (1130, 5, 75, 15, 3), training_len = 824
stride = 50, sequence_len = 75, ratio = 0.74, data.shape = (1130, 5, 75, 15, 3), training_len = 836
stride = 50, sequence_len = 75, ratio = 0.75, data.shape = (1130, 5, 75, 15, 3), training_len = 847
stride = 50, sequence_len = 75, ratio = 0.76, data.shape = (1130, 5, 75, 15, 3), training_len = 858
stride = 50, sequence_len = 75, ratio = 0.77, data.shape = (1130, 5, 75, 15, 3), training_len = 870
stride = 50, sequence_len = 75, ratio = 0.78, data.shape = (1130, 5, 75, 15, 3), training_len = 881
stride = 50, sequence_len = 75, ratio = 0.79, data.shape = (1130, 5, 75, 15, 3), training_len = 892
stride = 50, sequence_len = 75, ratio = 0.8, data.shape = (1130, 5, 75, 15, 3), training_len = 904
stride = 50, sequence_len = 75, ratio = 0.81, data.shape = (1130, 5, 75, 15, 3), training_len = 915
stride = 50, sequence_len = 75, ratio = 0.82, data.shape = (1130, 5, 75, 15, 3), training_len = 926
stride = 50, sequence_len = 75, ratio = 0.83, data.shape = (1130, 5, 75, 15, 3), training_len = 937
stride = 50, sequence_len = 75, ratio = 0.84, data.shape = (1130, 5, 75, 15, 3), training_len = 949
stride = 50, sequence_len = 75, ratio = 0.85, data.shape = (1130, 5, 75, 15, 3), training_len = 960
stride = 50, sequence_len = 75, ratio = 0.86, data.shape = (1130, 5, 75, 15, 3), training_len = 971
stride = 50, sequence_len = 75, ratio = 0.87, data.shape = (1130, 5, 75, 15, 3), training_len = 983
stride = 50, sequence_len = 75, ratio = 0.88, data.shape = (1130, 5, 75, 15, 3), training_len = 994
stride = 50, sequence_len = 75, ratio = 0.89, data.shape = (1130, 5, 75, 15, 3), training_len = 1005
stride = 50, sequence_len = 75, ratio = 0.9, data.shape = (1130, 5, 75, 15, 3), training_len = 1017
stride = 50, sequence_len = 75, ratio = 0.91, data.shape = (1130, 5, 75, 15, 3), training_len = 1028
stride = 50, sequence_len = 75, ratio = 0.92, data.shape = (1130, 5, 75, 15, 3), training_len = 1039
stride = 50, sequence_len = 75, ratio = 0.93, data.shape = (1130, 5, 75, 15, 3), training_len = 1050
stride = 50, sequence_len = 75, ratio = 0.94, data.shape = (1130, 5, 75, 15, 3), training_len = 1062
stride = 50, sequence_len = 75, ratio = 0.95, data.shape = (1130, 5, 75, 15, 3), training_len = 1073
stride = 50, sequence_len = 75, ratio = 0.96, data.shape = (1130, 5, 75, 15, 3), training_len = 1084
stride = 50, sequence_len = 75, ratio = 0.97, data.shape = (1130, 5, 75, 15, 3), training_len = 1096
stride = 50, sequence_len = 75, ratio = 0.98, data.shape = (1130, 5, 75, 15, 3), training_len = 1107
stride = 50, sequence_len = 75, ratio = 0.99, data.shape = (1130, 5, 75, 15, 3), training_len = 1118
